vector,frame,subframe,field,expected,got,delta,notes
PITCH,152,-1,top_open_loop,24,24,0,range_ok
PITCH,153,-1,top_open_loop,36,24,-12,mismatch
PITCH,154,-1,top_open_loop,24,36,12,mismatch
PITCH,155,-1,top_open_loop,24,24,0,range_ok
PITCH,156,-1,top_open_loop,36,24,-12,mismatch
PITCH,157,-1,top_open_loop,23,20,-3,mismatch
PITCH,158,-1,top_open_loop,24,24,0,range_ok
PITCH,159,-1,top_open_loop,36,24,-12,mismatch
PITCH,160,-1,top_open_loop,24,24,0,range_ok
PITCH,161,-1,top_open_loop,24,36,12,mismatch
PITCH,162,-1,top_open_loop,36,24,-12,mismatch
PITCH,163,-1,top_open_loop,36,24,-12,mismatch
PITCH,164,-1,top_open_loop,143,131,-12,mismatch
PITCH,165,-1,top_open_loop,25,25,0,range_ok
PITCH,166,-1,top_open_loop,37,37,0,range_ok
PITCH,167,-1,top_open_loop,37,37,0,range_ok
PITCH,168,-1,top_open_loop,37,37,0,range_ok
PITCH,169,-1,top_open_loop,37,37,0,range_ok
PITCH,170,-1,top_open_loop,20,73,53,mismatch
PITCH,171,-1,top_open_loop,26,26,0,range_ok
PITCH,172,-1,top_open_loop,39,26,-13,mismatch
PITCH,173,-1,top_open_loop,26,26,0,range_ok
PITCH,174,-1,top_open_loop,26,26,0,range_ok
PITCH,175,-1,top_open_loop,26,26,0,range_ok
PITCH,176,-1,top_open_loop,31,67,36,mismatch
PITCH,177,-1,top_open_loop,26,26,0,range_ok
PITCH,178,-1,top_open_loop,39,26,-13,mismatch
PITCH,179,-1,top_open_loop,26,26,0,range_ok
PITCH,180,-1,top_open_loop,26,26,0,range_ok
PITCH,181,-1,top_open_loop,39,26,-13,mismatch
PITCH,182,-1,top_open_loop,26,26,0,range_ok
PITCH,183,-1,top_open_loop,133,133,0,range_ok
PITCH,184,-1,top_open_loop,27,27,0,range_ok
PITCH,185,-1,top_open_loop,27,27,0,range_ok
PITCH,186,-1,top_open_loop,27,27,0,range_ok
PITCH,187,-1,top_open_loop,27,27,0,range_ok
PITCH,188,-1,top_open_loop,27,27,0,range_ok
PITCH,189,-1,top_open_loop,109,70,-39,mismatch
PITCH,190,-1,top_open_loop,28,28,0,range_ok
PITCH,191,-1,top_open_loop,28,28,0,range_ok
PITCH,192,-1,top_open_loop,28,28,0,range_ok
PITCH,193,-1,top_open_loop,28,28,0,range_ok
PITCH,194,-1,top_open_loop,28,28,0,range_ok
PITCH,195,-1,top_open_loop,23,20,-3,mismatch
PITCH,196,-1,top_open_loop,28,28,0,range_ok
PITCH,197,-1,top_open_loop,28,28,0,range_ok
PITCH,198,-1,top_open_loop,28,28,0,range_ok
PITCH,199,-1,top_open_loop,28,28,0,range_ok
PITCH,200,-1,top_open_loop,28,28,0,range_ok
PITCH,201,-1,top_open_loop,28,28,0,range_ok
PITCH,202,-1,top_open_loop,135,135,0,range_ok
PITCH,203,-1,top_open_loop,29,29,0,range_ok
PITCH,204,-1,top_open_loop,29,29,0,range_ok
PITCH,205,-1,top_open_loop,29,29,0,range_ok
PITCH,206,-1,top_open_loop,29,29,0,range_ok
PITCH,207,-1,top_open_loop,29,29,0,range_ok
PITCH,208,-1,top_open_loop,139,74,-65,mismatch
PITCH,209,-1,top_open_loop,30,30,0,range_ok
PITCH,210,-1,top_open_loop,30,30,0,range_ok
PITCH,211,-1,top_open_loop,30,30,0,range_ok
PITCH,212,-1,top_open_loop,30,30,0,range_ok
PITCH,213,-1,top_open_loop,30,30,0,range_ok
PITCH,214,-1,top_open_loop,31,23,-8,mismatch
PITCH,215,-1,top_open_loop,30,30,0,range_ok
PITCH,216,-1,top_open_loop,30,30,0,range_ok
PITCH,217,-1,top_open_loop,30,30,0,range_ok
PITCH,218,-1,top_open_loop,30,30,0,range_ok
PITCH,219,-1,top_open_loop,30,30,0,range_ok
PITCH,220,-1,top_open_loop,30,30,0,range_ok
PITCH,221,-1,top_open_loop,137,137,0,range_ok
PITCH,222,-1,top_open_loop,31,31,0,range_ok
PITCH,223,-1,top_open_loop,31,31,0,range_ok
PITCH,224,-1,top_open_loop,31,31,0,range_ok
PITCH,225,-1,top_open_loop,31,31,0,range_ok
PITCH,226,-1,top_open_loop,31,31,0,range_ok
PITCH,227,-1,top_open_loop,20,68,48,mismatch
PITCH,228,-1,top_open_loop,32,32,0,range_ok
PITCH,229,-1,top_open_loop,32,32,0,range_ok
PITCH,230,-1,top_open_loop,32,32,0,range_ok
PITCH,231,-1,top_open_loop,32,32,0,range_ok
PITCH,232,-1,top_open_loop,32,32,0,range_ok
PITCH,233,-1,top_open_loop,39,20,-19,mismatch
PITCH,234,-1,top_open_loop,32,32,0,range_ok
PITCH,235,-1,top_open_loop,32,32,0,range_ok
PITCH,236,-1,top_open_loop,32,32,0,range_ok
PITCH,237,-1,top_open_loop,32,32,0,range_ok
PITCH,238,-1,top_open_loop,32,32,0,range_ok
PITCH,239,-1,top_open_loop,32,32,0,range_ok
PITCH,240,-1,top_open_loop,139,139,0,range_ok
PITCH,241,-1,top_open_loop,33,33,0,range_ok
PITCH,242,-1,top_open_loop,33,33,0,range_ok
PITCH,243,-1,top_open_loop,33,33,0,range_ok
PITCH,244,-1,top_open_loop,33,33,0,range_ok
PITCH,245,-1,top_open_loop,33,33,0,range_ok
PITCH,246,-1,top_open_loop,124,80,-44,mismatch
PITCH,247,-1,top_open_loop,34,34,0,range_ok
PITCH,248,-1,top_open_loop,34,34,0,range_ok
PITCH,249,-1,top_open_loop,34,34,0,range_ok
PITCH,250,-1,top_open_loop,34,34,0,range_ok
PITCH,251,-1,top_open_loop,34,34,0,range_ok
PITCH,252,-1,top_open_loop,26,22,-4,mismatch
PITCH,253,-1,top_open_loop,34,34,0,range_ok
PITCH,254,-1,top_open_loop,34,34,0,range_ok
PITCH,255,-1,top_open_loop,34,34,0,range_ok
PITCH,256,-1,top_open_loop,34,34,0,range_ok
PITCH,257,-1,top_open_loop,34,34,0,range_ok
PITCH,258,-1,top_open_loop,34,34,0,range_ok
PITCH,259,-1,top_open_loop,124,124,0,range_ok
PITCH,260,-1,top_open_loop,35,35,0,range_ok
PITCH,261,-1,top_open_loop,35,35,0,range_ok
PITCH,262,-1,top_open_loop,35,35,0,range_ok
PITCH,263,-1,top_open_loop,35,35,0,range_ok
PITCH,264,-1,top_open_loop,35,35,0,range_ok
PITCH,265,-1,top_open_loop,104,85,-19,mismatch
PITCH,266,-1,top_open_loop,36,36,0,range_ok
PITCH,267,-1,top_open_loop,36,36,0,range_ok
PITCH,268,-1,top_open_loop,36,36,0,range_ok
PITCH,269,-1,top_open_loop,36,36,0,range_ok
PITCH,270,-1,top_open_loop,36,36,0,range_ok
PITCH,271,-1,top_open_loop,25,21,-4,mismatch
PITCH,272,-1,top_open_loop,36,36,0,range_ok
PITCH,273,-1,top_open_loop,36,36,0,range_ok
PITCH,274,-1,top_open_loop,36,36,0,range_ok
PITCH,275,-1,top_open_loop,36,36,0,range_ok
PITCH,276,-1,top_open_loop,36,36,0,range_ok
PITCH,277,-1,top_open_loop,36,36,0,range_ok
PITCH,278,-1,top_open_loop,143,143,0,range_ok
PITCH,279,-1,top_open_loop,37,37,0,range_ok
PITCH,280,-1,top_open_loop,37,37,0,range_ok
PITCH,281,-1,top_open_loop,37,37,0,range_ok
PITCH,282,-1,top_open_loop,37,37,0,range_ok
PITCH,283,-1,top_open_loop,37,37,0,range_ok
PITCH,284,-1,top_open_loop,112,73,-39,mismatch
PITCH,285,-1,top_open_loop,20,20,0,range_ok
PITCH,286,-1,top_open_loop,38,38,0,range_ok
PITCH,287,-1,top_open_loop,38,38,0,range_ok
PITCH,288,-1,top_open_loop,38,38,0,range_ok
PITCH,289,-1,top_open_loop,38,38,0,range_ok
PITCH,290,-1,top_open_loop,33,23,-10,mismatch
PITCH,291,-1,top_open_loop,20,20,0,range_ok
PITCH,292,-1,top_open_loop,38,38,0,range_ok
PITCH,293,-1,top_open_loop,38,38,0,range_ok
PITCH,294,-1,top_open_loop,38,38,0,range_ok
PITCH,295,-1,top_open_loop,38,38,0,range_ok
PITCH,296,-1,top_open_loop,38,20,-18,mismatch
PITCH,297,-1,top_open_loop,126,126,0,range_ok
PITCH,298,-1,top_open_loop,20,20,0,range_ok
PITCH,299,-1,top_open_loop,39,39,0,range_ok
PITCH,300,-1,top_open_loop,39,39,0,range_ok
PITCH,301,-1,top_open_loop,20,20,0,range_ok
PITCH,302,-1,top_open_loop,39,39,0,range_ok
PITCH,303,-1,top_open_loop,130,73,-57,mismatch
PITCH,304,-1,top_open_loop,20,20,0,range_ok
PITCH,305,-1,top_open_loop,20,20,0,range_ok
PITCH,306,-1,top_open_loop,20,20,0,range_ok
PITCH,307,-1,top_open_loop,20,20,0,range_ok
PITCH,308,-1,top_open_loop,20,20,0,range_ok
PITCH,309,-1,top_open_loop,23,21,-2,mismatch
PITCH,310,-1,top_open_loop,20,20,0,range_ok
PITCH,311,-1,top_open_loop,20,20,0,range_ok
PITCH,312,-1,top_open_loop,20,20,0,range_ok
PITCH,313,-1,top_open_loop,20,20,0,range_ok
PITCH,314,-1,top_open_loop,20,20,0,range_ok
PITCH,315,-1,top_open_loop,20,20,0,range_ok
PITCH,316,-1,top_open_loop,127,127,0,range_ok
PITCH,317,-1,top_open_loop,20,20,0,range_ok
PITCH,318,-1,top_open_loop,20,20,0,range_ok
PITCH,319,-1,top_open_loop,20,20,0,range_ok
PITCH,320,-1,top_open_loop,20,20,0,range_ok
PITCH,321,-1,top_open_loop,20,20,0,range_ok
PITCH,322,-1,top_open_loop,20,20,0,range_ok
PITCH,323,-1,top_open_loop,21,21,0,range_ok
PITCH,324,-1,top_open_loop,21,21,0,range_ok
PITCH,325,-1,top_open_loop,21,21,0,range_ok
PITCH,326,-1,top_open_loop,21,21,0,range_ok
PITCH,327,-1,top_open_loop,21,21,0,range_ok
PITCH,328,-1,top_open_loop,39,33,-6,mismatch
PITCH,329,-1,top_open_loop,21,21,0,range_ok
PITCH,330,-1,top_open_loop,21,21,0,range_ok
PITCH,331,-1,top_open_loop,21,21,0,range_ok
PITCH,332,-1,top_open_loop,21,21,0,range_ok
PITCH,333,-1,top_open_loop,21,21,0,range_ok
PITCH,334,-1,top_open_loop,21,21,0,range_ok
PITCH,335,-1,top_open_loop,21,95,74,mismatch
PITCH,336,-1,top_open_loop,21,21,0,range_ok
PITCH,337,-1,top_open_loop,21,21,0,range_ok
PITCH,338,-1,top_open_loop,21,21,0,range_ok
PITCH,339,-1,top_open_loop,64,21,-43,mismatch
PITCH,340,-1,top_open_loop,21,21,0,range_ok
PITCH,341,-1,top_open_loop,143,20,-123,mismatch
PITCH,342,-1,top_open_loop,22,22,0,range_ok
PITCH,343,-1,top_open_loop,22,22,0,range_ok
PITCH,344,-1,top_open_loop,110,22,-88,mismatch
PITCH,345,-1,top_open_loop,22,22,0,range_ok
PITCH,346,-1,top_open_loop,22,22,0,range_ok
PITCH,347,-1,top_open_loop,20,34,14,mismatch
PITCH,348,-1,top_open_loop,22,22,0,range_ok
PITCH,349,-1,top_open_loop,22,22,0,range_ok
PITCH,350,-1,top_open_loop,22,22,0,range_ok
PITCH,351,-1,top_open_loop,22,22,0,range_ok
PITCH,352,-1,top_open_loop,22,22,0,range_ok
PITCH,353,-1,top_open_loop,22,22,0,range_ok
PITCH,354,-1,top_open_loop,129,129,0,range_ok
PITCH,355,-1,top_open_loop,22,22,0,range_ok
PITCH,356,-1,top_open_loop,22,22,0,range_ok
PITCH,357,-1,top_open_loop,22,22,0,range_ok
PITCH,358,-1,top_open_loop,22,22,0,range_ok
PITCH,359,-1,top_open_loop,22,22,0,range_ok
PITCH,360,-1,top_open_loop,27,20,-7,mismatch
PITCH,361,-1,top_open_loop,23,23,0,range_ok
PITCH,362,-1,top_open_loop,23,23,0,range_ok
PITCH,363,-1,top_open_loop,23,23,0,range_ok
PITCH,364,-1,top_open_loop,23,23,0,range_ok
PITCH,365,-1,top_open_loop,23,23,0,range_ok
PITCH,366,-1,top_open_loop,30,26,-4,mismatch
PITCH,367,-1,top_open_loop,23,23,0,range_ok
PITCH,368,-1,top_open_loop,23,23,0,range_ok
PITCH,369,-1,top_open_loop,23,23,0,range_ok
PITCH,370,-1,top_open_loop,23,23,0,range_ok
PITCH,371,-1,top_open_loop,23,23,0,range_ok
PITCH,372,-1,top_open_loop,23,23,0,range_ok
PITCH,373,-1,top_open_loop,130,130,0,range_ok
PITCH,374,-1,top_open_loop,23,23,0,range_ok
PITCH,375,-1,top_open_loop,23,23,0,range_ok
PITCH,376,-1,top_open_loop,23,23,0,range_ok
PITCH,377,-1,top_open_loop,23,23,0,range_ok
PITCH,378,-1,top_open_loop,23,23,0,range_ok
PITCH,379,-1,top_open_loop,20,20,0,range_ok
PITCH,380,-1,top_open_loop,24,24,0,range_ok
PITCH,381,-1,top_open_loop,24,24,0,range_ok
PITCH,382,-1,top_open_loop,24,24,0,range_ok
PITCH,383,-1,top_open_loop,24,24,0,range_ok
PITCH,384,-1,top_open_loop,24,24,0,range_ok
PITCH,385,-1,top_open_loop,36,30,-6,mismatch
PITCH,386,-1,top_open_loop,24,24,0,range_ok
PITCH,387,-1,top_open_loop,24,24,0,range_ok
PITCH,388,-1,top_open_loop,24,24,0,range_ok
PITCH,389,-1,top_open_loop,24,24,0,range_ok
PITCH,390,-1,top_open_loop,24,24,0,range_ok
PITCH,391,-1,top_open_loop,24,24,0,range_ok
PITCH,392,-1,top_open_loop,131,131,0,range_ok
PITCH,393,-1,top_open_loop,24,24,0,range_ok
PITCH,394,-1,top_open_loop,24,24,0,range_ok
PITCH,395,-1,top_open_loop,24,24,0,range_ok
PITCH,396,-1,top_open_loop,24,24,0,range_ok
PITCH,397,-1,top_open_loop,24,24,0,range_ok
PITCH,398,-1,top_open_loop,142,20,-122,mismatch
PITCH,399,-1,top_open_loop,25,25,0,range_ok
PITCH,400,-1,top_open_loop,25,25,0,range_ok
PITCH,401,-1,top_open_loop,25,25,0,range_ok
PITCH,402,-1,top_open_loop,25,25,0,range_ok
PITCH,403,-1,top_open_loop,25,25,0,range_ok
PITCH,404,-1,top_open_loop,39,33,-6,mismatch
PITCH,405,-1,top_open_loop,25,25,0,range_ok
PITCH,406,-1,top_open_loop,25,25,0,range_ok
PITCH,407,-1,top_open_loop,25,25,0,range_ok
PITCH,408,-1,top_open_loop,25,25,0,range_ok
PITCH,409,-1,top_open_loop,25,25,0,range_ok
PITCH,410,-1,top_open_loop,25,25,0,range_ok
PITCH,411,-1,top_open_loop,132,132,0,range_ok
PITCH,412,-1,top_open_loop,25,25,0,range_ok
PITCH,413,-1,top_open_loop,25,25,0,range_ok
PITCH,414,-1,top_open_loop,25,25,0,range_ok
PITCH,415,-1,top_open_loop,25,25,0,range_ok
PITCH,416,-1,top_open_loop,25,25,0,range_ok
PITCH,417,-1,top_open_loop,142,65,-77,mismatch
PITCH,418,-1,top_open_loop,26,26,0,range_ok
PITCH,419,-1,top_open_loop,26,26,0,range_ok
PITCH,420,-1,top_open_loop,26,26,0,range_ok
PITCH,421,-1,top_open_loop,26,26,0,range_ok
PITCH,422,-1,top_open_loop,26,26,0,range_ok
PITCH,423,-1,top_open_loop,20,38,18,mismatch
PITCH,424,-1,top_open_loop,26,26,0,range_ok
PITCH,425,-1,top_open_loop,26,26,0,range_ok
PITCH,426,-1,top_open_loop,26,26,0,range_ok
PITCH,427,-1,top_open_loop,26,26,0,range_ok
PITCH,428,-1,top_open_loop,26,26,0,range_ok
PITCH,429,-1,top_open_loop,26,26,0,range_ok
PITCH,430,-1,top_open_loop,133,133,0,range_ok
PITCH,431,-1,top_open_loop,26,26,0,range_ok
PITCH,432,-1,top_open_loop,26,26,0,range_ok
PITCH,433,-1,top_open_loop,26,26,0,range_ok
PITCH,434,-1,top_open_loop,26,26,0,range_ok
PITCH,435,-1,top_open_loop,26,26,0,range_ok
PITCH,436,-1,top_open_loop,142,67,-75,mismatch
PITCH,437,-1,top_open_loop,27,27,0,range_ok
PITCH,438,-1,top_open_loop,27,27,0,range_ok
PITCH,439,-1,top_open_loop,27,27,0,range_ok
PITCH,440,-1,top_open_loop,27,27,0,range_ok
PITCH,441,-1,top_open_loop,27,27,0,range_ok
PITCH,442,-1,top_open_loop,30,29,-1,mismatch
PITCH,443,-1,top_open_loop,27,27,0,range_ok
PITCH,444,-1,top_open_loop,27,27,0,range_ok
PITCH,445,-1,top_open_loop,27,27,0,range_ok
PITCH,446,-1,top_open_loop,27,27,0,range_ok
PITCH,447,-1,top_open_loop,81,27,-54,mismatch
PITCH,448,-1,top_open_loop,27,27,0,range_ok
PITCH,449,-1,top_open_loop,134,134,0,range_ok
PITCH,450,-1,top_open_loop,27,27,0,range_ok
PITCH,451,-1,top_open_loop,27,27,0,range_ok
PITCH,452,-1,top_open_loop,27,27,0,range_ok
PITCH,453,-1,top_open_loop,27,27,0,range_ok
PITCH,454,-1,top_open_loop,27,27,0,range_ok
PITCH,455,-1,top_open_loop,114,20,-94,mismatch
PITCH,456,-1,top_open_loop,28,28,0,range_ok
PITCH,457,-1,top_open_loop,28,28,0,range_ok
PITCH,458,-1,top_open_loop,28,28,0,range_ok
PITCH,459,-1,top_open_loop,28,28,0,range_ok
PITCH,460,-1,top_open_loop,112,28,-84,mismatch
PITCH,461,-1,top_open_loop,23,74,51,mismatch
PITCH,462,-1,top_open_loop,28,28,0,range_ok
PITCH,463,-1,top_open_loop,28,28,0,range_ok
PITCH,464,-1,top_open_loop,28,28,0,range_ok
PITCH,465,-1,top_open_loop,28,28,0,range_ok
PITCH,466,-1,top_open_loop,28,28,0,range_ok
PITCH,467,-1,top_open_loop,28,28,0,range_ok
PITCH,468,-1,top_open_loop,135,134,-1,mismatch
PITCH,469,-1,top_open_loop,28,28,0,range_ok
PITCH,470,-1,top_open_loop,28,28,0,range_ok
PITCH,471,-1,top_open_loop,28,28,0,range_ok
PITCH,472,-1,top_open_loop,28,28,0,range_ok
PITCH,473,-1,top_open_loop,28,28,0,range_ok
PITCH,474,-1,top_open_loop,139,70,-69,mismatch
PITCH,475,-1,top_open_loop,29,29,0,range_ok
PITCH,476,-1,top_open_loop,87,29,-58,mismatch
PITCH,477,-1,top_open_loop,29,29,0,range_ok
PITCH,478,-1,top_open_loop,29,29,0,range_ok
PITCH,479,-1,top_open_loop,29,29,0,range_ok
PITCH,480,-1,top_open_loop,30,29,-1,mismatch
PITCH,481,-1,top_open_loop,136,136,0,range_ok
PITCH,482,-1,top_open_loop,29,29,0,range_ok
PITCH,483,-1,top_open_loop,29,29,0,range_ok
PITCH,484,-1,top_open_loop,29,29,0,range_ok
PITCH,485,-1,top_open_loop,29,29,0,range_ok
PITCH,486,-1,top_open_loop,29,29,0,range_ok
PITCH,487,-1,top_open_loop,136,136,0,range_ok
PITCH,488,-1,top_open_loop,29,29,0,range_ok
PITCH,489,-1,top_open_loop,29,29,0,range_ok
PITCH,490,-1,top_open_loop,29,29,0,range_ok
PITCH,491,-1,top_open_loop,29,29,0,range_ok
PITCH,492,-1,top_open_loop,29,29,0,range_ok
PITCH,493,-1,top_open_loop,116,75,-41,mismatch
PITCH,494,-1,top_open_loop,30,30,0,range_ok
