source,frame,sub,field,index,got
OVERFLOW,64,0,fixed_gain_q14,-1,1611712
OVERFLOW,64,0,past_exc_rms_x100,-1,28993
OVERFLOW,64,0,past_tail_rms_x100,-1,30954
OVERFLOW,64,0,adaptive_v_rms_x100,-1,30447
OVERFLOW,64,0,pitch_contrib_rms_x100,-1,30995
OVERFLOW,64,0,fixed_contrib_rms_x100,-1,3567
OVERFLOW,64,0,excitation_u_rms_x100,-1,29789
OVERFLOW,64,0,pitch_to_fixed_ratio_x100,-1,869
OVERFLOW,64,0,past_to_fixed_ratio_x100,-1,813
OVERFLOW,65,0,bitstream_ga,-1,4
OVERFLOW,65,0,bitstream_gb,-1,7
OVERFLOW,65,0,pitch_t_int,-1,32
OVERFLOW,65,0,pitch_t_frac,-1,0
OVERFLOW,65,0,adaptive_gain_before_q14,-1,17265
OVERFLOW,65,0,pitch_instability_flag_q0,-1,0
OVERFLOW,65,0,adaptive_gain_after_pitch_instability_q14,-1,17265
OVERFLOW,65,0,fixed_gain_q14,-1,1552768
OVERFLOW,65,0,past_exc_rms_x100,-1,29710
OVERFLOW,65,0,past_tail_rms_x100,-1,29226
OVERFLOW,65,0,adaptive_v_rms_x100,-1,29219
OVERFLOW,65,0,pitch_contrib_rms_x100,-1,30781
OVERFLOW,65,0,fixed_contrib_rms_x100,-1,3004
OVERFLOW,65,0,excitation_u_rms_x100,-1,30657
OVERFLOW,65,0,pitch_to_fixed_ratio_x100,-1,1025
OVERFLOW,65,0,past_to_fixed_ratio_x100,-1,989
OVERFLOW,65,1,bitstream_ga,-1,1
OVERFLOW,65,1,bitstream_gb,-1,7
OVERFLOW,65,1,pitch_t_int,-1,32
OVERFLOW,65,1,pitch_t_frac,-1,0
OVERFLOW,65,1,adaptive_gain_before_q14,-1,16985
OVERFLOW,65,1,pitch_instability_flag_q0,-1,0
OVERFLOW,65,1,adaptive_gain_after_pitch_instability_q14,-1,16985
OVERFLOW,65,1,fixed_gain_q14,-1,502736
OVERFLOW,65,1,past_exc_rms_x100,-1,30096
OVERFLOW,65,1,past_tail_rms_x100,-1,30657
OVERFLOW,65,1,adaptive_v_rms_x100,-1,30773
OVERFLOW,65,1,pitch_contrib_rms_x100,-1,31899
OVERFLOW,65,1,fixed_contrib_rms_x100,-1,1057
OVERFLOW,65,1,excitation_u_rms_x100,-1,32214
OVERFLOW,65,1,pitch_to_fixed_ratio_x100,-1,3018
OVERFLOW,65,1,past_to_fixed_ratio_x100,-1,2847
OVERFLOW,66,0,bitstream_ga,-1,0
OVERFLOW,66,0,bitstream_gb,-1,15
OVERFLOW,66,0,pitch_t_int,-1,24
OVERFLOW,66,0,pitch_t_frac,-1,0
OVERFLOW,66,0,adaptive_gain_before_q14,-1,16502
OVERFLOW,66,0,pitch_instability_flag_q0,-1,0
OVERFLOW,66,0,adaptive_gain_after_pitch_instability_q14,-1,16502
OVERFLOW,66,0,fixed_gain_q14,-1,977312
OVERFLOW,66,0,past_exc_rms_x100,-1,30425
OVERFLOW,66,0,past_tail_rms_x100,-1,32214
OVERFLOW,66,0,adaptive_v_rms_x100,-1,31731
OVERFLOW,66,0,pitch_contrib_rms_x100,-1,31965
OVERFLOW,66,0,fixed_contrib_rms_x100,-1,2180
OVERFLOW,66,0,excitation_u_rms_x100,-1,31914
OVERFLOW,66,0,pitch_to_fixed_ratio_x100,-1,1466
OVERFLOW,66,0,past_to_fixed_ratio_x100,-1,1396
OVERFLOW,66,1,bitstream_ga,-1,1
OVERFLOW,66,1,bitstream_gb,-1,9
OVERFLOW,66,1,pitch_t_int,-1,24
OVERFLOW,66,1,pitch_t_frac,-1,0
OVERFLOW,66,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,66,1,pitch_instability_flag_q0,-1,0
OVERFLOW,66,1,adaptive_gain_after_pitch_instability_q14,-1,16683
