field,frame,sub,index,lag,frac,expected
exc_residual_ext,0,0,23,-1,-1,-6239
exc_residual_ext,0,0,24,-1,-1,-770
exc_residual_ext,0,0,25,-1,-1,3573
exc_residual_ext,0,0,26,-1,-1,-2178
exc_residual_ext,0,0,27,-1,-1,-6814
exc_residual_ext,0,0,28,-1,-1,-1269
exc_residual_ext,0,0,29,-1,-1,3161
exc_residual_ext,0,0,30,-1,-1,-2523
exc_residual_ext,0,0,31,-1,-1,-7080
exc_residual_ext,0,0,32,-1,-1,-1477
exc_residual_ext,0,0,33,-1,-1,3019
exc_residual_ext,0,0,34,-1,-1,-2612
exc_residual_ext,0,0,35,-1,-1,-7117
exc_residual_ext,0,0,36,-1,-1,-1468
exc_residual_ext,0,0,37,-1,-1,3074
exc_residual_ext,0,0,38,-1,-1,-2518
exc_residual_ext,0,0,39,-1,-1,-6990
rn_int,0,0,-1,71,0,0
rn_frac,0,0,-1,71,-1,0
rn_frac,0,0,-1,71,0,0
rn_frac,0,0,-1,71,1,0
rn_int,0,0,-1,72,0,0
rn_frac,0,0,-1,72,-1,0
rn_frac,0,0,-1,72,0,0
rn_frac,0,0,-1,72,1,0
rn_int,0,0,-1,73,0,0
rn_frac,0,0,-1,73,-1,0
rn_frac,0,0,-1,73,0,0
rn_frac,0,0,-1,73,1,0
rn_int,0,0,-1,74,0,0
rn_frac,0,0,-1,74,-1,0
rn_frac,0,0,-1,74,0,0
rn_frac,0,0,-1,74,1,0
rn_int,0,0,-1,75,0,0
rn_frac,0,0,-1,75,-1,0
rn_frac,0,0,-1,75,0,0
rn_frac,0,0,-1,75,1,0
rn_int,0,0,-1,76,0,0
rn_frac,0,0,-1,76,-1,0
rn_frac,0,0,-1,76,0,0
rn_frac,0,0,-1,76,1,0
rn_int,0,0,-1,77,0,0
rn_frac,0,0,-1,77,-1,0
rn_frac,0,0,-1,77,0,0
rn_frac,0,0,-1,77,1,0
centre,0,1,-1,-1,-1,71
window_min,0,1,-1,-1,-1,66
window_max,0,1,-1,-1,-1,75
ref_int,0,1,-1,-1,-1,37
ref_frac,0,1,-1,-1,-1,0
ref_code,0,1,-1,-1,-1,29
prod_int,0,1,-1,-1,-1,68
prod_frac,0,1,-1,-1,-1,0
prod_code,0,1,-1,-1,-1,8
prod_rn_int,0,1,-1,68,0,145487232
ref_rn_frac,0,1,-1,37,0,-359346674
a_hat,0,1,0,-1,-1,4096
a_hat,0,1,1,-1,-1,-6373
a_hat,0,1,2,-1,-1,5954
a_hat,0,1,3,-1,-1,-3784
a_hat,0,1,4,-1,-1,259
a_hat,0,1,5,-1,-1,1485
a_hat,0,1,6,-1,-1,-109
a_hat,0,1,7,-1,-1,-1152
a_hat,0,1,8,-1,-1,2266
a_hat,0,1,9,-1,-1,-2126
a_hat,0,1,10,-1,-1,777
residual,0,1,0,-1,-1,-1233
residual,0,1,1,-1,-1,2992
residual,0,1,2,-1,-1,-2252
residual,0,1,3,-1,-1,-6361
residual,0,1,4,-1,-1,-996
residual,0,1,5,-1,-1,3244
residual,0,1,6,-1,-1,-1991
residual,0,1,7,-1,-1,-6087
residual,0,1,8,-1,-1,-714
residual,0,1,9,-1,-1,3530
residual,0,1,10,-1,-1,-1698
residual,0,1,11,-1,-1,-5802
residual,0,1,12,-1,-1,-423
residual,0,1,13,-1,-1,3814
residual,0,1,14,-1,-1,-1414
residual,0,1,15,-1,-1,-5524
residual,0,1,16,-1,-1,-149
residual,0,1,17,-1,-1,4081
residual,0,1,18,-1,-1,-1160
residual,0,1,19,-1,-1,-5266
residual,0,1,20,-1,-1,72
residual,0,1,21,-1,-1,4336
residual,0,1,22,-1,-1,-961
residual,0,1,23,-1,-1,-5018
residual,0,1,24,-1,-1,245
residual,0,1,25,-1,-1,4553
residual,0,1,26,-1,-1,-800
residual,0,1,27,-1,-1,-4854
residual,0,1,28,-1,-1,437
residual,0,1,29,-1,-1,4637
residual,0,1,30,-1,-1,-558
residual,0,1,31,-1,-1,-4870
residual,0,1,32,-1,-1,735
residual,0,1,33,-1,-1,4540
residual,0,1,34,-1,-1,-241
residual,0,1,35,-1,-1,-4985
residual,0,1,36,-1,-1,976
residual,0,1,37,-1,-1,4549
residual,0,1,38,-1,-1,-309
residual,0,1,39,-1,-1,-4319
target_x,0,1,0,-1,-1,-1826
target_x,0,1,1,-1,-1,3343
target_x,0,1,2,-1,-1,-1957
target_x,0,1,3,-1,-1,-7002
target_x,0,1,4,-1,-1,-1574
target_x,0,1,5,-1,-1,3615
target_x,0,1,6,-1,-1,-1673
target_x,0,1,7,-1,-1,-6704
target_x,0,1,8,-1,-1,-1266
target_x,0,1,9,-1,-1,3926
target_x,0,1,10,-1,-1,-1352
target_x,0,1,11,-1,-1,-6394
target_x,0,1,12,-1,-1,-951
target_x,0,1,13,-1,-1,4238
target_x,0,1,14,-1,-1,-1044
target_x,0,1,15,-1,-1,-6091
target_x,0,1,16,-1,-1,-652
target_x,0,1,17,-1,-1,4527
target_x,0,1,18,-1,-1,-768
target_x,0,1,19,-1,-1,-5810
target_x,0,1,20,-1,-1,-409
target_x,0,1,21,-1,-1,4800
target_x,0,1,22,-1,-1,-544
target_x,0,1,23,-1,-1,-5549
target_x,0,1,24,-1,-1,-209
target_x,0,1,25,-1,-1,5027
target_x,0,1,26,-1,-1,-360
target_x,0,1,27,-1,-1,-5374
target_x,0,1,28,-1,-1,-3
target_x,0,1,29,-1,-1,5130
target_x,0,1,30,-1,-1,-119
target_x,0,1,31,-1,-1,-5358
target_x,0,1,32,-1,-1,277
target_x,0,1,33,-1,-1,5082
target_x,0,1,34,-1,-1,162
target_x,0,1,35,-1,-1,-5415
target_x,0,1,36,-1,-1,478
target_x,0,1,37,-1,-1,5137
target_x,0,1,38,-1,-1,80
target_x,0,1,39,-1,-1,-4758
impulse_h,0,1,0,-1,-1,4096
impulse_h,0,1,1,-1,-1,4780
impulse_h,0,1,2,-1,-1,2229
impulse_h,0,1,3,-1,-1,290
impulse_h,0,1,4,-1,-1,299
impulse_h,0,1,5,-1,-1,534
impulse_h,0,1,6,-1,-1,57
impulse_h,0,1,7,-1,-1,-273
impulse_h,0,1,8,-1,-1,-223
impulse_h,0,1,9,-1,-1,-70
impulse_h,0,1,10,-1,-1,-20
impulse_h,0,1,11,-1,-1,-18
impulse_h,0,1,12,-1,-1,-12
impulse_h,0,1,13,-1,-1,-7
impulse_h,0,1,14,-1,-1,4
impulse_h,0,1,15,-1,-1,11
impulse_h,0,1,16,-1,-1,7
impulse_h,0,1,17,-1,-1,-1
impulse_h,0,1,18,-1,-1,-2
impulse_h,0,1,19,-1,-1,1
impulse_h,0,1,20,-1,-1,1
impulse_h,0,1,21,-1,-1,-1
impulse_h,0,1,22,-1,-1,-1
impulse_h,0,1,23,-1,-1,0
impulse_h,0,1,24,-1,-1,0
impulse_h,0,1,25,-1,-1,0
impulse_h,0,1,26,-1,-1,0
impulse_h,0,1,27,-1,-1,0
impulse_h,0,1,28,-1,-1,0
impulse_h,0,1,29,-1,-1,0
impulse_h,0,1,30,-1,-1,0
impulse_h,0,1,31,-1,-1,0
impulse_h,0,1,32,-1,-1,0
impulse_h,0,1,33,-1,-1,0
impulse_h,0,1,34,-1,-1,0
impulse_h,0,1,35,-1,-1,0
impulse_h,0,1,36,-1,-1,0
impulse_h,0,1,37,-1,-1,0
impulse_h,0,1,38,-1,-1,0
impulse_h,0,1,39,-1,-1,0
target_xb,0,1,0,-1,-1,1304
target_xb,0,1,1,-1,-1,-2987
target_xb,0,1,2,-1,-1,-11808
target_xb,0,1,3,-1,-1,-7145
target_xb,0,1,4,-1,-1,2071
target_xb,0,1,5,-1,-1,-2176
target_xb,0,1,6,-1,-1,-10964
target_xb,0,1,7,-1,-1,-6273
target_xb,0,1,8,-1,-1,2962
target_xb,0,1,9,-1,-1,-1276
target_xb,0,1,10,-1,-1,-10063
target_xb,0,1,11,-1,-1,-5379
target_xb,0,1,12,-1,-1,3855
target_xb,0,1,13,-1,-1,-394
target_xb,0,1,14,-1,-1,-9195
target_xb,0,1,15,-1,-1,-4529
target_xb,0,1,16,-1,-1,4684
target_xb,0,1,17,-1,-1,409
target_xb,0,1,18,-1,-1,-8416
target_xb,0,1,19,-1,-1,-3777
target_xb,0,1,20,-1,-1,5408
target_xb,0,1,21,-1,-1,1115
target_xb,0,1,22,-1,-1,-7748
target_xb,0,1,23,-1,-1,-3123
target_xb,0,1,24,-1,-1,6003
target_xb,0,1,25,-1,-1,1673
target_xb,0,1,26,-1,-1,-7246
target_xb,0,1,27,-1,-1,-2615
target_xb,0,1,28,-1,-1,6492
target_xb,0,1,29,-1,-1,2122
target_xb,0,1,30,-1,-1,-6815
target_xb,0,1,31,-1,-1,-2266
target_xb,0,1,32,-1,-1,6935
target_xb,0,1,33,-1,-1,2677
target_xb,0,1,34,-1,-1,-6148
target_xb,0,1,35,-1,-1,-2404
target_xb,0,1,36,-1,-1,6179
target_xb,0,1,37,-1,-1,2641
target_xb,0,1,38,-1,-1,-5473
target_xb,0,1,39,-1,-1,-4758
old_exc,0,1,0,-1,-1,0
old_exc,0,1,1,-1,-1,0
old_exc,0,1,2,-1,-1,0
old_exc,0,1,3,-1,-1,0
old_exc,0,1,4,-1,-1,0
old_exc,0,1,5,-1,-1,0
old_exc,0,1,6,-1,-1,0
old_exc,0,1,7,-1,-1,0
old_exc,0,1,8,-1,-1,0
old_exc,0,1,9,-1,-1,0
old_exc,0,1,10,-1,-1,0
old_exc,0,1,11,-1,-1,0
old_exc,0,1,12,-1,-1,0
old_exc,0,1,13,-1,-1,0
old_exc,0,1,14,-1,-1,0
old_exc,0,1,15,-1,-1,0
old_exc,0,1,16,-1,-1,0
old_exc,0,1,17,-1,-1,0
old_exc,0,1,18,-1,-1,0
old_exc,0,1,19,-1,-1,0
old_exc,0,1,20,-1,-1,0
old_exc,0,1,21,-1,-1,0
old_exc,0,1,22,-1,-1,0
old_exc,0,1,23,-1,-1,0
old_exc,0,1,24,-1,-1,0
old_exc,0,1,25,-1,-1,0
old_exc,0,1,26,-1,-1,0
old_exc,0,1,27,-1,-1,0
old_exc,0,1,28,-1,-1,0
old_exc,0,1,29,-1,-1,0
old_exc,0,1,30,-1,-1,0
old_exc,0,1,31,-1,-1,0
old_exc,0,1,32,-1,-1,0
old_exc,0,1,33,-1,-1,0
old_exc,0,1,34,-1,-1,0
old_exc,0,1,35,-1,-1,0
old_exc,0,1,36,-1,-1,0
old_exc,0,1,37,-1,-1,0
old_exc,0,1,38,-1,-1,0
old_exc,0,1,39,-1,-1,0
old_exc,0,1,40,-1,-1,0
old_exc,0,1,41,-1,-1,0
old_exc,0,1,42,-1,-1,0
old_exc,0,1,43,-1,-1,0
old_exc,0,1,44,-1,-1,0
old_exc,0,1,45,-1,-1,0
old_exc,0,1,46,-1,-1,0
old_exc,0,1,47,-1,-1,0
old_exc,0,1,48,-1,-1,0
old_exc,0,1,49,-1,-1,0
old_exc,0,1,50,-1,-1,0
old_exc,0,1,51,-1,-1,0
old_exc,0,1,52,-1,-1,0
old_exc,0,1,53,-1,-1,0
old_exc,0,1,54,-1,-1,0
old_exc,0,1,55,-1,-1,0
old_exc,0,1,56,-1,-1,0
old_exc,0,1,57,-1,-1,0
old_exc,0,1,58,-1,-1,0
old_exc,0,1,59,-1,-1,0
old_exc,0,1,60,-1,-1,0
old_exc,0,1,61,-1,-1,0
old_exc,0,1,62,-1,-1,0
old_exc,0,1,63,-1,-1,0
old_exc,0,1,64,-1,-1,0
old_exc,0,1,65,-1,-1,0
old_exc,0,1,66,-1,-1,0
old_exc,0,1,67,-1,-1,0
old_exc,0,1,68,-1,-1,0
old_exc,0,1,69,-1,-1,0
old_exc,0,1,70,-1,-1,0
old_exc,0,1,71,-1,-1,0
old_exc,0,1,72,-1,-1,0
old_exc,0,1,73,-1,-1,0
old_exc,0,1,74,-1,-1,0
old_exc,0,1,75,-1,-1,0
old_exc,0,1,76,-1,-1,0
old_exc,0,1,77,-1,-1,0
old_exc,0,1,78,-1,-1,0
old_exc,0,1,79,-1,-1,0
old_exc,0,1,80,-1,-1,0
old_exc,0,1,81,-1,-1,0
old_exc,0,1,82,-1,-1,0
old_exc,0,1,83,-1,-1,0
old_exc,0,1,84,-1,-1,0
old_exc,0,1,85,-1,-1,0
old_exc,0,1,86,-1,-1,0
old_exc,0,1,87,-1,-1,0
old_exc,0,1,88,-1,-1,0
old_exc,0,1,89,-1,-1,0
old_exc,0,1,90,-1,-1,0
old_exc,0,1,91,-1,-1,0
old_exc,0,1,92,-1,-1,0
old_exc,0,1,93,-1,-1,0
old_exc,0,1,94,-1,-1,0
old_exc,0,1,95,-1,-1,0
old_exc,0,1,96,-1,-1,0
old_exc,0,1,97,-1,-1,0
old_exc,0,1,98,-1,-1,0
old_exc,0,1,99,-1,-1,0
old_exc,0,1,100,-1,-1,0
old_exc,0,1,101,-1,-1,0
old_exc,0,1,102,-1,-1,0
old_exc,0,1,103,-1,-1,0
old_exc,0,1,104,-1,-1,0
old_exc,0,1,105,-1,-1,0
old_exc,0,1,106,-1,-1,0
old_exc,0,1,107,-1,-1,7568
old_exc,0,1,108,-1,-1,7568
old_exc,0,1,109,-1,-1,0
old_exc,0,1,110,-1,-1,0
old_exc,0,1,111,-1,-1,0
old_exc,0,1,112,-1,-1,0
old_exc,0,1,113,-1,-1,0
old_exc,0,1,114,-1,-1,0
old_exc,0,1,115,-1,-1,7568
old_exc,0,1,116,-1,-1,0
old_exc,0,1,117,-1,-1,0
old_exc,0,1,118,-1,-1,0
old_exc,0,1,119,-1,-1,0
old_exc,0,1,120,-1,-1,0
old_exc,0,1,121,-1,-1,0
old_exc,0,1,122,-1,-1,0
old_exc,0,1,123,-1,-1,0
old_exc,0,1,124,-1,-1,0
old_exc,0,1,125,-1,-1,0
old_exc,0,1,126,-1,-1,0
old_exc,0,1,127,-1,-1,0
old_exc,0,1,128,-1,-1,0
old_exc,0,1,129,-1,-1,0
old_exc,0,1,130,-1,-1,0
old_exc,0,1,131,-1,-1,0
old_exc,0,1,132,-1,-1,0
old_exc,0,1,133,-1,-1,0
