source,frame,sub,field,index,expected,note
TAME,26,1,past_exc_pre_acb_q0,33,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,34,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,35,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,36,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,37,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,38,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,39,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,40,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,41,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,42,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,43,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,44,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,45,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,46,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,47,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,48,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,49,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,50,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,51,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,52,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,53,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,54,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,55,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,56,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,57,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,58,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,59,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,60,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,61,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,62,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,63,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,64,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,65,,blank_unavailable
TAME,26,1,past_exc_pre_acb_q0,66,,blank_unavailable
