vector,frame,subframe,field,got
PITCH,281,-1,top_open_loop,112
PITCH,282,-1,top_open_loop,92
PITCH,283,-1,top_open_loop,20
PITCH,284,-1,top_open_loop,73
PITCH,285,-1,top_open_loop,38
PITCH,286,-1,top_open_loop,114
PITCH,287,-1,top_open_loop,20
PITCH,288,-1,top_open_loop,36
PITCH,289,-1,top_open_loop,96
PITCH,290,-1,top_open_loop,23
PITCH,291,-1,top_open_loop,20
PITCH,292,-1,top_open_loop,95
PITCH,293,-1,top_open_loop,20
PITCH,294,-1,top_open_loop,20
PITCH,295,-1,top_open_loop,20
PITCH,296,-1,top_open_loop,20
PITCH,297,-1,top_open_loop,126
PITCH,298,-1,top_open_loop,58
PITCH,299,-1,top_open_loop,136
PITCH,300,-1,top_open_loop,20
PITCH,301,-1,top_open_loop,59
PITCH,302,-1,top_open_loop,135
PITCH,303,-1,top_open_loop,73
PITCH,304,-1,top_open_loop,20
PITCH,305,-1,top_open_loop,120
PITCH,306,-1,top_open_loop,60
PITCH,307,-1,top_open_loop,140
PITCH,308,-1,top_open_loop,102
PITCH,309,-1,top_open_loop,21
PITCH,310,-1,top_open_loop,20
PITCH,311,-1,top_open_loop,20
PITCH,312,-1,top_open_loop,20
PITCH,313,-1,top_open_loop,20
PITCH,314,-1,top_open_loop,20
PITCH,315,-1,top_open_loop,20
PITCH,316,-1,top_open_loop,127
PITCH,317,-1,top_open_loop,61
PITCH,318,-1,top_open_loop,20
PITCH,319,-1,top_open_loop,20
PITCH,320,-1,top_open_loop,20
PITCH,321,-1,top_open_loop,21
PITCH,322,-1,top_open_loop,20
PITCH,323,-1,top_open_loop,21
PITCH,324,-1,top_open_loop,126
PITCH,325,-1,top_open_loop,21
PITCH,326,-1,top_open_loop,22
PITCH,327,-1,top_open_loop,104
PITCH,328,-1,top_open_loop,75
PITCH,329,-1,top_open_loop,21
PITCH,330,-1,top_open_loop,21
PITCH,331,-1,top_open_loop,22
PITCH,332,-1,top_open_loop,124
PITCH,333,-1,top_open_loop,20
PITCH,334,-1,top_open_loop,21
PITCH,335,-1,top_open_loop,95
PITCH,336,-1,top_open_loop,42
PITCH,337,-1,top_open_loop,128
PITCH,338,-1,top_open_loop,20
PITCH,339,-1,top_open_loop,22
PITCH,340,-1,top_open_loop,85
PITCH,341,-1,top_open_loop,20
PITCH,342,-1,top_open_loop,23
PITCH,343,-1,top_open_loop,111
PITCH,344,-1,top_open_loop,67
PITCH,345,-1,top_open_loop,109
PITCH,346,-1,top_open_loop,131
PITCH,347,-1,top_open_loop,56
PITCH,348,-1,top_open_loop,22
PITCH,349,-1,top_open_loop,88
PITCH,350,-1,top_open_loop,20
PITCH,351,-1,top_open_loop,21
PITCH,352,-1,top_open_loop,22
PITCH,353,-1,top_open_loop,22
PITCH,354,-1,top_open_loop,129
PITCH,355,-1,top_open_loop,23
PITCH,356,-1,top_open_loop,134
PITCH,357,-1,top_open_loop,22
PITCH,358,-1,top_open_loop,87
PITCH,359,-1,top_open_loop,22
PITCH,360,-1,top_open_loop,20
PITCH,361,-1,top_open_loop,23
PITCH,362,-1,top_open_loop,92
PITCH,363,-1,top_open_loop,21
PITCH,364,-1,top_open_loop,136
PITCH,365,-1,top_open_loop,21
PITCH,366,-1,top_open_loop,26
PITCH,367,-1,top_open_loop,23
PITCH,368,-1,top_open_loop,92
PITCH,369,-1,top_open_loop,23
PITCH,370,-1,top_open_loop,94
PITCH,371,-1,top_open_loop,22
PITCH,372,-1,top_open_loop,23
PITCH,373,-1,top_open_loop,130
PITCH,374,-1,top_open_loop,70
PITCH,375,-1,top_open_loop,141
PITCH,376,-1,top_open_loop,22
PITCH,377,-1,top_open_loop,92
PITCH,378,-1,top_open_loop,24
PITCH,379,-1,top_open_loop,20
PITCH,380,-1,top_open_loop,24
PITCH,381,-1,top_open_loop,24
PITCH,382,-1,top_open_loop,22
PITCH,383,-1,top_open_loop,22
PITCH,384,-1,top_open_loop,24
PITCH,385,-1,top_open_loop,30
PITCH,386,-1,top_open_loop,24
PITCH,387,-1,top_open_loop,96
PITCH,388,-1,top_open_loop,22
PITCH,389,-1,top_open_loop,118
PITCH,390,-1,top_open_loop,25
PITCH,391,-1,top_open_loop,24
PITCH,392,-1,top_open_loop,131
PITCH,393,-1,top_open_loop,48
PITCH,394,-1,top_open_loop,122
PITCH,395,-1,top_open_loop,75
PITCH,396,-1,top_open_loop,96
PITCH,397,-1,top_open_loop,24
PITCH,398,-1,top_open_loop,20
PITCH,399,-1,top_open_loop,26
PITCH,400,-1,top_open_loop,100
PITCH,401,-1,top_open_loop,24
PITCH,402,-1,top_open_loop,100
PITCH,403,-1,top_open_loop,124
PITCH,404,-1,top_open_loop,33
PITCH,405,-1,top_open_loop,25
PITCH,406,-1,top_open_loop,76
PITCH,407,-1,top_open_loop,26
PITCH,408,-1,top_open_loop,25
PITCH,409,-1,top_open_loop,126
PITCH,410,-1,top_open_loop,25
PITCH,411,-1,top_open_loop,132
PITCH,412,-1,top_open_loop,50
PITCH,413,-1,top_open_loop,126
PITCH,414,-1,top_open_loop,27
PITCH,415,-1,top_open_loop,24
PITCH,416,-1,top_open_loop,26
PITCH,417,-1,top_open_loop,65
PITCH,418,-1,top_open_loop,27
PITCH,419,-1,top_open_loop,105
PITCH,420,-1,top_open_loop,24
PITCH,421,-1,top_open_loop,102
PITCH,422,-1,top_open_loop,128
PITCH,423,-1,top_open_loop,64
PITCH,424,-1,top_open_loop,26
PITCH,425,-1,top_open_loop,79
PITCH,426,-1,top_open_loop,103
PITCH,427,-1,top_open_loop,26
PITCH,428,-1,top_open_loop,106
PITCH,429,-1,top_open_loop,26
PITCH,430,-1,top_open_loop,133
PITCH,431,-1,top_open_loop,52
PITCH,432,-1,top_open_loop,132
PITCH,433,-1,top_open_loop,26
PITCH,434,-1,top_open_loop,132
PITCH,435,-1,top_open_loop,27
PITCH,436,-1,top_open_loop,67
PITCH,437,-1,top_open_loop,27
PITCH,438,-1,top_open_loop,108
PITCH,439,-1,top_open_loop,83
PITCH,440,-1,top_open_loop,29
PITCH,441,-1,top_open_loop,29
PITCH,442,-1,top_open_loop,29
PITCH,443,-1,top_open_loop,27
PITCH,444,-1,top_open_loop,81
PITCH,445,-1,top_open_loop,27
PITCH,446,-1,top_open_loop,26
PITCH,447,-1,top_open_loop,27
PITCH,448,-1,top_open_loop,27
PITCH,449,-1,top_open_loop,134
PITCH,450,-1,top_open_loop,55
PITCH,451,-1,top_open_loop,137
PITCH,452,-1,top_open_loop,138
PITCH,453,-1,top_open_loop,29
PITCH,454,-1,top_open_loop,28
PITCH,455,-1,top_open_loop,20
PITCH,456,-1,top_open_loop,29
PITCH,457,-1,top_open_loop,113
PITCH,458,-1,top_open_loop,86
PITCH,459,-1,top_open_loop,28
PITCH,460,-1,top_open_loop,28
PITCH,461,-1,top_open_loop,93
PITCH,462,-1,top_open_loop,28
PITCH,463,-1,top_open_loop,29
PITCH,464,-1,top_open_loop,29
PITCH,465,-1,top_open_loop,139
PITCH,466,-1,top_open_loop,27
PITCH,467,-1,top_open_loop,28
PITCH,468,-1,top_open_loop,134
PITCH,469,-1,top_open_loop,28
PITCH,470,-1,top_open_loop,29
PITCH,471,-1,top_open_loop,30
PITCH,472,-1,top_open_loop,29
PITCH,473,-1,top_open_loop,28
PITCH,474,-1,top_open_loop,70
PITCH,475,-1,top_open_loop,29
PITCH,476,-1,top_open_loop,29
PITCH,477,-1,top_open_loop,30
PITCH,478,-1,top_open_loop,29
PITCH,479,-1,top_open_loop,30
PITCH,480,-1,top_open_loop,29
PITCH,481,-1,top_open_loop,136
PITCH,482,-1,top_open_loop,59
PITCH,483,-1,top_open_loop,30
PITCH,484,-1,top_open_loop,118
PITCH,485,-1,top_open_loop,29
PITCH,486,-1,top_open_loop,29
PITCH,487,-1,top_open_loop,136
PITCH,488,-1,top_open_loop,59
PITCH,489,-1,top_open_loop,119
PITCH,490,-1,top_open_loop,29
PITCH,491,-1,top_open_loop,30
PITCH,492,-1,top_open_loop,30
PITCH,493,-1,top_open_loop,75
PITCH,494,-1,top_open_loop,31
PITCH,495,-1,top_open_loop,91
PITCH,496,-1,top_open_loop,121
PITCH,497,-1,top_open_loop,122
PITCH,498,-1,top_open_loop,29
PITCH,499,-1,top_open_loop,73
PITCH,500,-1,top_open_loop,30
