field,frame,tap,L0,L1,L2,L3,col,got
predictor_memory,3,1,-1,-1,-1,-1,5,14104
predictor_memory,3,1,-1,-1,-1,-1,6,15872
predictor_memory,3,1,-1,-1,-1,-1,7,18290
predictor_memory,3,1,-1,-1,-1,-1,8,20200
predictor_memory,3,1,-1,-1,-1,-1,9,21456
predictor_memory,3,2,-1,-1,-1,-1,0,1710
predictor_memory,3,2,-1,-1,-1,-1,1,4901
predictor_memory,3,2,-1,-1,-1,-1,2,6757
predictor_memory,3,2,-1,-1,-1,-1,3,9522
predictor_memory,3,2,-1,-1,-1,-1,4,11126
predictor_memory,3,2,-1,-1,-1,-1,5,14185
predictor_memory,3,2,-1,-1,-1,-1,6,16409
predictor_memory,3,2,-1,-1,-1,-1,7,18689
predictor_memory,3,2,-1,-1,-1,-1,8,21797
predictor_memory,3,2,-1,-1,-1,-1,9,24583
predictor_memory,3,3,-1,-1,-1,-1,0,2340
predictor_memory,3,3,-1,-1,-1,-1,1,4679
predictor_memory,3,3,-1,-1,-1,-1,2,7019
predictor_memory,3,3,-1,-1,-1,-1,3,9359
predictor_memory,3,3,-1,-1,-1,-1,4,11698
predictor_memory,3,3,-1,-1,-1,-1,5,14038
predictor_memory,3,3,-1,-1,-1,-1,6,16377
predictor_memory,3,3,-1,-1,-1,-1,7,18717
predictor_memory,3,3,-1,-1,-1,-1,8,21057
predictor_memory,3,3,-1,-1,-1,-1,9,23396
omega_lsf,3,-1,-1,-1,-1,-1,0,2333
omega_lsf,3,-1,-1,-1,-1,-1,1,4674
omega_lsf,3,-1,-1,-1,-1,-1,2,7014
omega_lsf,3,-1,-1,-1,-1,-1,3,9354
omega_lsf,3,-1,-1,-1,-1,-1,4,11695
omega_lsf,3,-1,-1,-1,-1,-1,5,14033
omega_lsf,3,-1,-1,-1,-1,-1,6,16374
omega_lsf,3,-1,-1,-1,-1,-1,7,18713
omega_lsf,3,-1,-1,-1,-1,-1,8,21054
omega_lsf,3,-1,-1,-1,-1,-1,9,23394
weight_lsf,3,-1,-1,-1,-1,-1,0,501
