frame,selector,L1,L2,L3,ref_selector,ref_L1,ref_L2,ref_L3,col,got
20,1,66,6,23,1,66,11,23,1,3424
20,1,66,6,23,1,66,11,23,2,5016
20,1,66,6,23,1,66,11,23,3,7276
20,1,66,6,23,1,66,11,23,4,9902
20,1,66,6,23,1,66,11,23,5,13171
20,1,66,6,23,1,66,11,23,6,18766
20,1,66,6,23,1,66,11,23,7,19119
20,1,66,6,23,1,66,11,23,8,20921
20,1,66,6,23,1,66,11,23,9,20931
21,1,2,3,30,0,2,15,19,0,1625
21,1,2,3,30,0,2,15,19,1,2058
21,1,2,3,30,0,2,15,19,2,2749
21,1,2,3,30,0,2,15,19,3,4841
21,1,2,3,30,0,2,15,19,4,9595
21,1,2,3,30,0,2,15,19,5,12619
21,1,2,3,30,0,2,15,19,6,17824
21,1,2,3,30,0,2,15,19,7,18046
21,1,2,3,30,0,2,15,19,8,21039
21,1,2,3,30,0,2,15,19,9,21839
22,1,2,27,8,1,17,27,19,0,1965
22,1,2,27,8,1,17,27,19,1,2814
22,1,2,27,8,1,17,27,19,2,3291
22,1,2,27,8,1,17,27,19,3,4077
22,1,2,27,8,1,17,27,19,4,10144
22,1,2,27,8,1,17,27,19,5,12850
22,1,2,27,8,1,17,27,19,6,16555
22,1,2,27,8,1,17,27,19,7,19098
22,1,2,27,8,1,17,27,19,8,21011
22,1,2,27,8,1,17,27,19,9,21465
23,0,13,9,17,0,13,9,9,0,409
23,0,13,9,17,0,13,9,9,1,953
23,0,13,9,17,0,13,9,9,2,1300
23,0,13,9,17,0,13,9,9,3,3154
23,0,13,9,17,0,13,9,9,4,9786
23,0,13,9,17,0,13,9,9,5,12633
23,0,13,9,17,0,13,9,9,6,16637
23,0,13,9,17,0,13,9,9,7,18984
23,0,13,9,17,0,13,9,9,8,20623
23,0,13,9,17,0,13,9,9,9,23029
24,1,56,3,29,1,56,3,0,0,1808
24,1,56,3,29,1,56,3,0,1,2257
24,1,56,3,29,1,56,3,0,2,4808
24,1,56,3,29,1,56,3,0,3,9933
24,1,56,3,29,1,56,3,0,4,10153
24,1,56,3,29,1,56,3,0,5,11994
24,1,56,3,29,1,56,3,0,6,13995
24,1,56,3,29,1,56,3,0,7,17810
24,1,56,3,29,1,56,3,0,8,21050
24,1,56,3,29,1,56,3,0,9,21819
25,0,96,16,0,0,92,17,13,0,215
25,0,96,16,0,0,92,17,13,1,1810
25,0,96,16,0,0,92,17,13,2,7176
25,0,96,16,0,0,92,17,13,3,10069
25,0,96,16,0,0,92,17,13,4,10525
25,0,96,16,0,0,92,17,13,5,13413
25,0,96,16,0,0,92,17,13,6,15054
25,0,96,16,0,0,92,17,13,7,19148
25,0,96,16,0,0,92,17,13,8,21219
25,0,96,16,0,0,92,17,13,9,22971
26,1,5,29,27,1,5,30,19,0,1241
26,1,5,29,27,1,5,30,19,1,2039
26,1,5,29,27,1,5,30,19,2,2943
26,1,5,29,27,1,5,30,19,3,3841
26,1,5,29,27,1,5,30,19,4,7928
26,1,5,29,27,1,5,30,19,5,12966
26,1,5,29,27,1,5,30,19,6,18366
26,1,5,29,27,1,5,30,19,7,18696
26,1,5,29,27,1,5,30,19,8,21905
26,1,5,29,27,1,5,30,19,9,22422
27,1,2,27,28,1,2,15,24,0,1965
27,1,2,27,28,1,2,15,24,1,2814
27,1,2,27,28,1,2,15,24,2,3291
27,1,2,27,28,1,2,15,24,3,4077
27,1,2,27,28,1,2,15,24,4,10144
27,1,2,27,28,1,2,15,24,5,12332
27,1,2,27,28,1,2,15,24,6,17823
27,1,2,27,28,1,2,15,24,7,19655
27,1,2,27,28,1,2,15,24,8,20512
27,1,2,27,28,1,2,15,24,9,20889
28,1,13,2,17,1,13,2,17,0,265
28,1,13,2,17,1,13,2,17,1,2138
28,1,13,2,17,1,13,2,17,2,2242
28,1,13,2,17,1,13,2,17,3,3774
28,1,13,2,17,1,13,2,17,4,9354
28,1,13,2,17,1,13,2,17,5,12633
28,1,13,2,17,1,13,2,17,6,16637
28,1,13,2,17,1,13,2,17,7,18984
28,1,13,2,17,1,13,2,17,8,20623
28,1,13,2,17,1,13,2,17,9,23029
29,1,17,29,23,0,34,9,24,0,464
29,1,17,29,23,0,34,9,24,1,1317
29,1,17,29,23,0,34,9,24,2,2460
29,1,17,29,23,0,34,9,24,3,5029
29,1,17,29,23,0,34,9,24,4,10674
29,1,17,29,23,0,34,9,24,5,11442
29,1,17,29,23,0,34,9,24,6,15854
29,1,17,29,23,0,34,9,24,7,18418
29,1,17,29,23,0,34,9,24,8,21242
29,1,17,29,23,0,34,9,24,9,21593
30,1,4,18,0,1,4,18,15,0,1729
30,1,4,18,0,1,4,18,15,1,2502
30,1,4,18,0,1,4,18,15,2,3776
30,1,4,18,0,1,4,18,15,3,9712
30,1,4,18,0,1,4,18,15,4,9722
30,1,4,18,0,1,4,18,15,5,12589
30,1,4,18,0,1,4,18,15,6,14413
30,1,4,18,0,1,4,18,15,7,17468
30,1,4,18,0,1,4,18,15,8,21445
30,1,4,18,0,1,4,18,15,9,22298
31,0,66,11,15,0,66,18,29,0,2236
31,0,66,11,15,0,66,18,29,1,3086
31,0,66,11,15,0,66,18,29,2,5049
31,0,66,11,15,0,66,18,29,3,5660
31,0,66,11,15,0,66,18,29,4,9806
31,0,66,11,15,0,66,18,29,5,13585
31,0,66,11,15,0,66,18,29,6,16766
31,0,66,11,15,0,66,18,29,7,19213
31,0,66,11,15,0,66,18,29,8,20237
31,0,66,11,15,0,66,18,29,9,22819
32,1,2,27,23,1,2,15,26,0,1965
32,1,2,27,23,1,2,15,26,1,2814
32,1,2,27,23,1,2,15,26,2,3291
32,1,2,27,23,1,2,15,26,3,4077
32,1,2,27,23,1,2,15,26,4,10144
32,1,2,27,23,1,2,15,26,5,12481
32,1,2,27,23,1,2,15,26,6,18930
32,1,2,27,23,1,2,15,26,7,19217
32,1,2,27,23,1,2,15,26,8,21338
32,1,2,27,23,1,2,15,26,9,21348
33,1,17,11,19,1,5,29,24,0,695
33,1,17,11,19,1,5,29,24,1,1340
33,1,17,11,19,1,5,29,24,2,2633
33,1,17,11,19,1,5,29,24,3,4449
33,1,17,11,19,1,5,29,24,4,9112
33,1,17,11,19,1,5,29,24,5,12923
33,1,17,11,19,1,5,29,24,6,16478
33,1,17,11,19,1,5,29,24,7,18831
33,1,17,11,19,1,5,29,24,8,21382
33,1,17,11,19,1,5,29,24,9,21912
34,1,17,31,23,1,2,9,26,0,846
34,1,17,31,23,1,2,9,26,1,2321
34,1,17,31,23,1,2,9,26,2,2878
34,1,17,31,23,1,2,9,26,3,4823
34,1,17,31,23,1,2,9,26,4,10072
34,1,17,31,23,1,2,9,26,5,11442
34,1,17,31,23,1,2,9,26,6,15854
34,1,17,31,23,1,2,9,26,7,18418
34,1,17,31,23,1,2,9,26,8,21242
34,1,17,31,23,1,2,9,26,9,21593
35,1,5,0,1,0,13,9,29,0,1351
35,1,5,0,1,0,13,9,29,1,1554
35,1,5,0,1,0,13,9,29,2,2630
35,1,5,0,1,0,13,9,29,3,5554
35,1,5,0,1,0,13,9,29,4,6277
35,1,5,0,1,0,13,9,29,5,14413
35,1,5,0,1,0,13,9,29,6,17746
35,1,5,0,1,0,13,9,29,7,18757
35,1,5,0,1,0,13,9,29,8,21719
35,1,5,0,1,0,13,9,29,9,22301
36,1,40,5,29,1,4,18,0,0,495
36,1,40,5,29,1,4,18,0,1,1004
36,1,40,5,29,1,4,18,0,2,3046
36,1,40,5,29,1,4,18,0,3,8013
36,1,40,5,29,1,4,18,0,4,11788
36,1,40,5,29,1,4,18,0,5,11798
36,1,40,5,29,1,4,18,0,6,14070
36,1,40,5,29,1,4,18,0,7,18377
36,1,40,5,29,1,4,18,0,8,20184
36,1,40,5,29,1,4,18,0,9,22699
37,1,2,27,30,0,2,24,24,0,1965
37,1,2,27,30,0,2,24,24,1,2814
37,1,2,27,30,0,2,24,24,2,3291
37,1,2,27,30,0,2,24,24,3,4077
37,1,2,27,30,0,2,24,24,4,10144
37,1,2,27,30,0,2,24,24,5,12619
37,1,2,27,30,0,2,24,24,6,17824
37,1,2,27,30,0,2,24,24,7,18046
37,1,2,27,30,0,2,24,24,8,21039
37,1,2,27,30,0,2,24,24,9,21839
38,1,2,27,0,1,5,9,24,0,1965
38,1,2,27,0,1,5,9,24,1,2814
38,1,2,27,0,1,5,9,24,2,3291
38,1,2,27,0,1,5,9,24,3,4077
38,1,2,27,0,1,5,9,24,4,10144
38,1,2,27,0,1,5,9,24,5,13975
38,1,2,27,0,1,5,9,24,6,17106
38,1,2,27,0,1,5,9,24,7,20122
38,1,2,27,0,1,5,9,24,8,21195
38,1,2,27,0,1,5,9,24,9,22126
39,1,2,9,31,1,2,9,26,0,691
39,1,2,9,31,1,2,9,26,1,1302
39,1,2,9,31,1,2,9,26,2,1840
39,1,2,9,31,1,2,9,26,3,4575
39,1,2,9,31,1,2,9,26,4,11275
39,1,2,9,31,1,2,9,26,5,12268
39,1,2,9,31,1,2,9,26,6,18042
39,1,2,9,31,1,2,9,26,7,19051
39,1,2,9,31,1,2,9,26,8,21833
39,1,2,9,31,1,2,9,26,9,22675
40,1,5,3,1,0,13,9,17,0,1843
40,1,5,3,1,0,13,9,17,1,2171
40,1,5,3,1,0,13,9,17,2,3033
40,1,5,3,1,0,13,9,17,3,4488
40,1,5,3,1,0,13,9,17,4,5327
40,1,5,3,1,0,13,9,17,5,14413
40,1,5,3,1,0,13,9,17,6,17746
40,1,5,3,1,0,13,9,17,7,18757
40,1,5,3,1,0,13,9,17,8,21719
40,1,5,3,1,0,13,9,17,9,22301
41,1,17,29,14,0,17,13,24,0,464
41,1,17,29,14,0,17,13,24,1,1317
41,1,17,29,14,0,17,13,24,2,2460
41,1,17,29,14,0,17,13,24,3,5029
41,1,17,29,14,0,17,13,24,4,10674
41,1,17,29,14,0,17,13,24,5,11343
41,1,17,29,14,0,17,13,24,6,15812
41,1,17,29,14,0,17,13,24,7,18441
41,1,17,29,14,0,17,13,24,8,20219
41,1,17,29,14,0,17,13,24,9,22911
42,1,40,6,24,0,52,6,11,0,1780
42,1,40,6,24,0,52,6,11,1,1877
42,1,40,6,24,0,52,6,11,2,2815
42,1,40,6,24,0,52,6,11,3,7419
42,1,40,6,24,0,52,6,11,4,10639
42,1,40,6,24,0,52,6,11,5,12638
42,1,40,6,24,0,52,6,11,6,14289
42,1,40,6,24,0,52,6,11,7,17177
42,1,40,6,24,0,52,6,11,8,20804
42,1,40,6,24,0,52,6,11,9,22497
43,0,2,28,8,0,5,9,21,0,1902
43,0,2,28,8,0,5,9,21,1,3720
43,0,2,28,8,0,5,9,21,2,3730
43,0,2,28,8,0,5,9,21,3,4794
43,0,2,28,8,0,5,9,21,4,11111
43,0,2,28,8,0,5,9,21,5,12850
43,0,2,28,8,0,5,9,21,6,16555
43,0,2,28,8,0,5,9,21,7,19098
43,0,2,28,8,0,5,9,21,8,21011
43,0,2,28,8,0,5,9,21,9,21465
44,1,2,11,31,1,2,9,24,0,1254
44,1,2,11,31,1,2,9,24,1,1949
44,1,2,11,31,1,2,9,24,2,2832
44,1,2,11,31,1,2,9,24,3,3614
44,1,2,11,31,1,2,9,24,4,10634
44,1,2,11,31,1,2,9,24,5,12268
44,1,2,11,31,1,2,9,24,6,18042
44,1,2,11,31,1,2,9,24,7,19051
44,1,2,11,31,1,2,9,24,8,21833
44,1,2,11,31,1,2,9,24,9,22675
45,1,17,3,17,0,34,9,25,0,1066
45,1,17,3,17,0,34,9,25,1,1449
45,1,17,3,17,0,34,9,25,2,2550
45,1,17,3,17,0,34,9,25,3,5676
45,1,17,3,17,0,34,9,25,4,8073
45,1,17,3,17,0,34,9,25,5,13023
45,1,17,3,17,0,34,9,25,6,15890
45,1,17,3,17,0,34,9,25,7,20134
45,1,17,3,17,0,34,9,25,8,21898
45,1,17,3,17,0,34,9,25,9,22567
46,0,13,5,25,0,17,27,27,0,585
46,0,13,5,25,0,17,27,27,1,1065
46,0,13,5,25,0,17,27,27,2,2490
46,0,13,5,25,0,17,27,27,3,4403
46,0,13,5,25,0,17,27,27,4,10466
46,0,13,5,25,0,17,27,27,5,11267
46,0,13,5,25,0,17,27,27,6,16843
46,0,13,5,25,0,17,27,27,7,18404
46,0,13,5,25,0,17,27,27,8,20104
46,0,13,5,25,0,17,27,27,9,22941
47,0,42,29,23,0,17,14,27,0,1040
47,0,42,29,23,0,17,14,27,1,2075
47,0,42,29,23,0,17,14,27,2,2565
47,0,42,29,23,0,17,14,27,3,3356
47,0,42,29,23,0,17,14,27,4,12434
47,0,42,29,23,0,17,14,27,5,12444
47,0,42,29,23,0,17,14,27,6,15142
47,0,42,29,23,0,17,14,27,7,15355
47,0,42,29,23,0,17,14,27,8,20243
47,0,42,29,23,0,17,14,27,9,20835
48,1,17,10,17,0,17,6,16,0,932
48,1,17,10,17,0,17,6,16,1,1991
48,1,17,10,17,0,17,6,16,2,2269
48,1,17,10,17,0,17,6,16,3,6472
48,1,17,10,17,0,17,6,16,4,9954
48,1,17,10,17,0,17,6,16,5,13023
48,1,17,10,17,0,17,6,16,6,15890
48,1,17,10,17,0,17,6,16,7,20134
48,1,17,10,17,0,17,6,16,8,21898
48,1,17,10,17,0,17,6,16,9,22567
49,1,5,9,25,0,2,9,23,0,909
49,1,5,9,25,0,2,9,23,1,1415
49,1,5,9,25,0,2,9,23,2,2124
49,1,5,9,25,0,2,9,23,3,4222
49,1,5,9,25,0,2,9,23,4,7007
49,1,5,9,25,0,2,9,23,5,12266
49,1,5,9,25,0,2,9,23,6,18539
49,1,5,9,25,0,2,9,23,7,20048
49,1,5,9,25,0,2,9,23,8,21268
49,1,5,9,25,0,2,9,23,9,22086
50,0,104,9,9,0,13,29,17,0,950
50,0,104,9,9,0,13,29,17,1,1660
50,0,104,9,9,0,13,29,17,2,2238
50,0,104,9,9,0,13,29,17,3,5740
50,0,104,9,9,0,13,29,17,4,12361
50,0,104,9,9,0,13,29,17,5,13588
50,0,104,9,9,0,13,29,17,6,15463
50,0,104,9,9,0,13,29,17,7,18231
50,0,104,9,9,0,13,29,17,8,22933
50,0,104,9,9,0,13,29,17,9,22943
51,0,34,3,12,0,17,3,19,0,1360
51,0,34,3,12,0,17,3,19,1,1757
51,0,34,3,12,0,17,3,19,2,2056
51,0,34,3,12,0,17,3,19,3,3289
51,0,34,3,12,0,17,3,19,4,10555
51,0,34,3,12,0,17,3,19,5,13736
51,0,34,3,12,0,17,3,19,6,15505
51,0,34,3,12,0,17,3,19,7,18821
51,0,34,3,12,0,17,3,19,8,19175
51,0,34,3,12,0,17,3,19,9,21472
52,1,2,11,23,0,34,6,9,0,1254
52,1,2,11,23,0,34,6,9,1,1949
52,1,2,11,23,0,34,6,9,2,2832
52,1,2,11,23,0,34,6,9,3,3614
52,1,2,11,23,0,34,6,9,4,10634
52,1,2,11,23,0,34,6,9,5,12481
52,1,2,11,23,0,34,6,9,6,18930
52,1,2,11,23,0,34,6,9,7,19217
52,1,2,11,23,0,34,6,9,8,21338
52,1,2,11,23,0,34,6,9,9,21348
53,0,40,0,9,0,17,11,19,0,761
53,0,40,0,9,0,17,11,19,1,1031
53,0,40,0,9,0,17,11,19,2,2362
53,0,40,0,9,0,17,11,19,3,8096
53,0,40,0,9,0,17,11,19,4,10454
53,0,40,0,9,0,17,11,19,5,12670
53,0,40,0,9,0,17,11,19,6,14086
53,0,40,0,9,0,17,11,19,7,17986
53,0,40,0,9,0,17,11,19,8,21439
53,0,40,0,9,0,17,11,19,9,23531
54,1,8,11,9,0,2,0,30,0,1555
54,1,8,11,9,0,2,0,30,1,2226
54,1,8,11,9,0,2,0,30,2,3157
54,1,8,11,9,0,2,0,30,3,3167
54,1,8,11,9,0,2,0,30,4,8723
54,1,8,11,9,0,2,0,30,5,14278
54,1,8,11,9,0,2,0,30,6,15180
54,1,8,11,9,0,2,0,30,7,17971
54,1,8,11,9,0,2,0,30,8,22128
54,1,8,11,9,0,2,0,30,9,22306
55,0,2,15,31,0,13,29,17,0,1713
55,0,2,15,31,0,13,29,17,1,1884
55,0,2,15,31,0,13,29,17,2,1894
55,0,2,15,31,0,13,29,17,3,4476
55,0,2,15,31,0,13,29,17,4,11099
55,0,2,15,31,0,13,29,17,5,12268
55,0,2,15,31,0,13,29,17,6,18042
55,0,2,15,31,0,13,29,17,7,19051
55,0,2,15,31,0,13,29,17,8,21833
55,0,2,15,31,0,13,29,17,9,22675
56,1,17,31,0,0,17,6,24,0,846
56,1,17,31,0,0,17,6,24,1,2321
56,1,17,31,0,0,17,6,24,2,2878
56,1,17,31,0,0,17,6,24,3,4823
56,1,17,31,0,0,17,6,24,4,10072
56,1,17,31,0,0,17,6,24,5,12936
