frame,t_op,int_t1,delta,plausible
538,139,20,-119,false
539,64,32,-32,false
540,32,32,0,true
541,126,32,-94,false
542,32,32,0,true
543,32,32,0,true
544,139,77,-62,false
545,33,35,2,true
546,32,32,0,true
547,99,32,-67,false
548,32,32,0,true
549,98,65,-33,false
550,77,32,-45,false
551,33,140,107,false
552,99,33,-66,false
553,31,33,2,true
554,32,33,1,true
555,35,33,-2,true
556,37,33,-4,true
557,140,20,-120,false
558,67,33,-34,false
559,132,33,-99,false
560,32,33,1,true
561,33,34,1,true
562,33,66,33,false
563,140,112,-28,false
564,34,32,-2,true
565,133,33,-100,false
566,32,33,1,true
567,33,33,0,true
568,33,33,0,true
569,49,34,-15,false
570,34,142,108,false
571,103,34,-69,false
572,34,34,0,true
573,33,34,1,true
574,34,34,0,true
575,35,68,33,false
576,141,20,-121,false
577,68,141,73,false
578,34,34,0,true
579,34,34,0,true
580,138,34,-104,false
581,34,68,34,false
582,141,83,-58,false
583,69,141,72,false
584,137,34,-103,false
585,33,34,1,true
586,36,34,-2,true
587,34,34,0,true
588,20,40,20,false
589,35,143,108,false
590,105,35,-70,false
591,36,35,-1,true
592,34,70,36,false
593,36,35,-1,true
594,35,35,0,true
595,142,84,-58,false
596,35,32,-3,true
597,141,35,-106,false
598,35,35,0,true
599,34,35,1,true
600,35,35,0,true
601,142,82,-60,false
602,35,142,107,false
603,35,35,0,true
604,35,104,69,false
605,140,35,-105,false
606,36,35,-1,true
607,20,41,21,false
608,36,142,106,false
609,109,36,-73,false
610,108,35,-73,false
611,35,36,1,true
612,35,36,1,true
613,47,36,-11,false
614,36,137,101,false
615,36,37,1,true
616,36,36,0,true
617,36,36,0,true
618,34,36,2,true
619,34,36,2,true
620,89,20,-69,false
621,36,28,-8,false
622,109,36,-73,false
623,36,37,1,true
624,35,36,1,true
625,36,36,0,true
626,32,35,3,true
627,37,143,106,false
628,38,37,-1,true
629,36,37,1,true
630,36,37,1,true
631,36,37,1,true
632,49,37,-12,false
633,37,140,103,false
634,75,37,-38,false
635,36,37,1,true
636,36,37,1,true
637,37,37,0,true
638,37,37,0,true
639,143,52,-91,false
640,38,34,-4,true
641,37,37,0,true
642,37,37,0,true
643,38,37,-1,true
644,113,37,-76,false
645,50,37,-13,false
646,38,138,100,false
647,77,38,-39,false
648,37,38,1,true
649,37,38,1,true
650,37,38,1,true
